Title,Link,Date
4046,[LINC 3.0] 파워반도체인재양성센터 설계트랙 교육생 모집 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1135345/artclView.do,2023.01.05
4047,2023학년도 1학기 (통합)연계과정 학생 및 전환 희망 학생 모집 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1135368/artclView.do,2023.01.05
4048,2023년도 한국장애인개발원 쌍용곰두리장학생 선발 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1135434/artclView.do,2023.01.06
4049,2023학년도 1학기 교류 수학 안내(강원대학교 외),https://cse.pusan.ac.kr/bbs/cse/2605/1135527/artclView.do,2023.01.06
4050,[멘토스쿨 운영] 2022학년도 6차 멘토스쿨,https://cse.pusan.ac.kr/bbs/cse/2605/1135602/artclView.do,2023.01.09
4051,2023학년도 1학기 학부 등록금재원 우선선발장학금 신청 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1135605/artclView.do,2023.01.09
4052,[LINC 3.0] 「AI ART Crash Course_ 이론부터 작품 제작까지」 프로그,https://cse.pusan.ac.kr/bbs/cse/2605/1135695/artclView.do,2023.01.10
4053,[소프트웨어교육센터] 「PNU SW·AI 창의융합 프로젝트 캠프」 멘토 모집 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1135710/artclView.do,2023.01.10
4054,지역선도대학육성사업「부산 특화산업 발전 로드맵 경진대회」참가자 모집,https://cse.pusan.ac.kr/bbs/cse/2605/1135742/artclView.do,2023.01.10
4055,[중요] (2023.3.1 시행)부산대학교 영어 능력 졸업인증제도 시행 지침 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1135748/artclView.do,2023.01.10
4056,설 명절맞이 청렴 퀴즈 이벤트 참여 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1135882/artclView.do,2023.01.12
4057,[졸업예정자필독]2023년 2월 졸업예정자 중 TOPCIT 미충족자 조사,https://cse.pusan.ac.kr/bbs/cse/2605/1135901/artclView.do,2023.01.12
4058,2023학년도 1학기 교류 수학 안내(서울대학교 외),https://cse.pusan.ac.kr/bbs/cse/2605/1135935/artclView.do,2023.01.12
4059,2023학년도 1학기 교류 수학 안내(전남대 외),https://cse.pusan.ac.kr/bbs/cse/2605/1135936/artclView.do,2023.01.12
4060,2022학년도 3차 대기업 직무적성 특강 신청 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1136066/artclView.do,2023.01.16
4061,[학과주관-코딩역량강의] PCCE  PCCP 수강생 모집: ~ 1.20(금)까지,https://cse.pusan.ac.kr/bbs/cse/2605/1136085/artclView.do,2023.01.16
4062,2023학년도 1학기 교류 수학(서울과학기술대  한밭대  창원대  경희대 대학원),https://cse.pusan.ac.kr/bbs/cse/2605/1136259/artclView.do,2023.01.17
4063,2023학년도 1학기 교류 수학 안내(울산대  부경대  영남대  한양대 대학원),https://cse.pusan.ac.kr/bbs/cse/2605/1136260/artclView.do,2023.01.17
4064,[교육부] 중국 입국자 선제적 감시방안 조치 안내 및「검역정보 사전입력시스템(Q-CODE),https://cse.pusan.ac.kr/bbs/cse/2605/1136262/artclView.do,2023.01.17
4065,[취업전략과] 겨울방학 면접 프로그램 참가자 모집 홍보,https://cse.pusan.ac.kr/bbs/cse/2605/1136264/artclView.do,2023.01.17
4066,2023학년도 1학기 교류 수학 안내(울산과기원  서울시립대  계명대  한국교원대 대학원),https://cse.pusan.ac.kr/bbs/cse/2605/1136271/artclView.do,2023.01.17
4067,2023학년도 1학기 수강신청 대비 「영어 기초학력 진단평가」실시 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1136273/artclView.do,2023.01.17
4068,2023학년도 교수학습지원 프로그램 요구조사 실시 안내(링크 연결),https://cse.pusan.ac.kr/bbs/cse/2605/1140031/artclView.do,2023.01.25
4069,2023학년도 1학기 국가근로장학금 2차 신청 안내 ,https://cse.pusan.ac.kr/bbs/cse/2605/1140042/artclView.do,2023.01.25
4070,[안내] 2023년 상반기 ICT학점연계 프로젝트 인턴십 국내과정 참가자 모집 공고,https://cse.pusan.ac.kr/bbs/cse/2605/1140269/artclView.do,2023.01.25
4071,언어교육원 「한국어강좌 온라인 10주 과정」안내 및 설명회 개최 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1140317/artclView.do,2023.01.25
4072,2023학년도 1학기 재학생 등록금 납부계획 알림,https://cse.pusan.ac.kr/bbs/cse/2605/1142046/artclView.do,2023.01.27
4073,[수업]효원브릿지 교과목 재이수 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1142078/artclView.do,2023.01.27
4074,[교육부] 실내 마스크 착용 의무 조정에 따른 학교 적용사항,https://cse.pusan.ac.kr/bbs/cse/2605/1143718/artclView.do,2023.01.30
4075,[장학] 2023년도 1학기 정산재단 장학생 추천:~ 2.3(금),https://cse.pusan.ac.kr/bbs/cse/2605/1143721/artclView.do,2023.01.30
4076,2023학년도 1학기 현장실습 학생 모집 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1143834/artclView.do,2023.01.30
4077,2023학년도 1학기 정규학기 해외파견 자비 프로그램 선발 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1143846/artclView.do,2023.01.30
4078,[LINC 3.0] 2022학년도 캡스톤 디자인 온라인 전시관 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1144547/artclView.do,2023.01.31
4079,LG전자 H&A본부(창원) SW 신입채용 관련 온라인 설명회 개최: 2.6(월) 14시,https://cse.pusan.ac.kr/bbs/cse/2605/1144804/artclView.do,2023.01.31
4080,[수업]2023학년도 1학기 학부 희망과목담기 및 수강신청(대기순번제) 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1144966/artclView.do,2023.01.31
4081,[수업]2023학년도 1학기 교양교과목 수강지도 지침 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1144971/artclView.do,2023.01.31
4082,[장학] 2023학년도「행복가득 보금자리 지원사업」지원 대상자 추천: ~2.3(금)까지,https://cse.pusan.ac.kr/bbs/cse/2605/1145309/artclView.do,2023.02.01
4083,[수업][필독:중요]2023학년도 1학기  정보컴퓨터공학부 수강지도(업데이트),https://cse.pusan.ac.kr/bbs/cse/2605/1145474/artclView.do,2023.02.01
4084,[장학] 2023학년도 1학기 국가장학금 2차 신청 안내 ,https://cse.pusan.ac.kr/bbs/cse/2605/1145581/artclView.do,2023.02.01
4085,한전 전력연구원 2023학년도 상반기 현장실습생 모집 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1145670/artclView.do,2023.02.01
4086,2023학년도 2학기 정규학기 해외파견(교환 및 교비) 프로그램 참가자 모집 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1145677/artclView.do,2023.02.01
4087,[수업]2023학년도 1학기 거점국립대학 원격수업 학점교류 교과목 수강 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1145701/artclView.do,2023.02.01
4088,[멘토스쿨 운영] 2022학년도 8차 멘토스쿨 학과장 승인 절차 안내 ,https://cse.pusan.ac.kr/bbs/cse/2605/1146283/artclView.do,2023.02.02
4089,LG전자 H&A본부 SW신입연구원 비대면 채용설명회(2/6 월 14시),https://cse.pusan.ac.kr/bbs/cse/2605/1148615/artclView.do,2023.02.06
4090,[졸업] 2023.02.24. 졸업자 학위수여식 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1148644/artclView.do,2023.02.06
4091,[모집] [디지털새싹] 2023학년도 예비신입생을 위한 입학 전 SW교육 참가자 모집,https://cse.pusan.ac.kr/bbs/cse/2605/1148655/artclView.do,2023.02.06
4092,2023년 GKS 외국인 우수자비 장학생 모집공고 안내 ,https://cse.pusan.ac.kr/bbs/cse/2605/1148909/artclView.do,2023.02.06
4093,학부 외국인 졸업생 및 수료생 영문성명 확인 요청,https://cse.pusan.ac.kr/bbs/cse/2605/1148924/artclView.do,2023.02.06
4094,[수업]2023학년도 신입생 영어 기초학력 진단평가 실시 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1148959/artclView.do,2023.02.06
4095,[수업]2023학년도 1학기 학부 외국인 한국어 교과목 의무이수 대상자 수강신청 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1148962/artclView.do,2023.02.06
4096,[졸업]2023년 2월 졸업.수료.유예자 명단 확인,https://cse.pusan.ac.kr/bbs/cse/2605/1149386/artclView.do,2023.02.07
4097,[한국핀테크지원센터] 제 11기 대학생 기자단 모집,https://cse.pusan.ac.kr/bbs/cse/2605/1149550/artclView.do,2023.02.07
4098,2023년 1학기 미래의동반자재단 장학생(메트라이프 미래 장학생) 선발 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1149557/artclView.do,2023.02.07
4099,[수업]시간표 중복 허용 과목 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1151001/artclView.do,2023.02.09
4100,[수업]2023학년도 1학기 효원브릿지(교양선택 8영역) 교과목 운영 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1151049/artclView.do,2023.02.09
4101,2023 정보컴퓨터공학부 신입생 오리엔테이션 자료 게시,https://cse.pusan.ac.kr/bbs/cse/2605/1151418/artclView.do,2023.02.10
4102,2023학년도 신·편입생(학부  대학원) 학생증 발급신청 및 배부 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1151466/artclView.do,2023.02.10
4103,2023학년도 편입생 오리엔테이션 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1154199/artclView.do,2023.02.14
4104,[수업]대기순번제 과목 삭제 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1154682/artclView.do,2023.02.15
4105,제104주년 3·1절 나라사랑 태극기 달기 추진계획 알림,https://cse.pusan.ac.kr/bbs/cse/2605/1154687/artclView.do,2023.02.15
4106,2023년 폭력예방교육 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1154695/artclView.do,2023.02.15
4107,[장학] 2023학년도 부산 사회복지공동모금회(기탁자 _ 양걸) 장학생 추천: ~ 3.6(,https://cse.pusan.ac.kr/bbs/cse/2605/1154848/artclView.do,2023.02.15
4108,[수업]2023학년도 1학기 <공학연구실습(I))> 교과목 신청 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1154868/artclView.do,2023.02.15
4109,(삼성중공업 주관) '23년 DT 제조혁신 양성과정 모집,https://cse.pusan.ac.kr/bbs/cse/2605/1156227/artclView.do,2023.02.17
4110,[장학] 2023년 1학기 성적우수장학금 배정 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1156326/artclView.do,2023.02.17
4111,[대학혁신]「2023학년도 취업 홍보 서포터즈」 모집 안내 ,https://cse.pusan.ac.kr/bbs/cse/2605/1157975/artclView.do,2023.02.20
4112,2023학년도 대학생 학습 지원 튜터링 프로그램 참여 튜터 모집 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1158199/artclView.do,2023.02.20
4113,2023학년도 1학기 현장실습 지도교수 배정 및 현장실습 시행 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1158290/artclView.do,2023.02.20
4114,2023학년도 1학기 수강정정 대비 영어 기초학력 진단평가 실시 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1158962/artclView.do,2023.02.21
4115,2023학년도 신입생 입학식 행사 개최 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1159436/artclView.do,2023.02.22
4116,카카오 테크 캠퍼스 프로그램 운영 안내 ,https://cse.pusan.ac.kr/bbs/cse/2605/1159448/artclView.do,2023.02.22
4117,[수업]교과목 추가 개설 및 담당교수 변경 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1159589/artclView.do,2023.02.22
4118,[수업]이산수학(I) 강의실 변경 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1159716/artclView.do,2023.02.22
4119,2023학년도 1차 종합졸업영어 수강생 모집 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1161086/artclView.do,2023.02.24
4120,2023학년도 1차 기초졸업영어 수강생 모집 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1161088/artclView.do,2023.02.24
4121,2023학년도 2학기 정규학기 해외파견(교환 및 교비) 프로그램 참가자 2차 모집,https://cse.pusan.ac.kr/bbs/cse/2605/1161120/artclView.do,2023.02.24
4122,2023학년도 입학식 참석 학생 출석 인정 요청 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1161158/artclView.do,2023.02.24
4123,[수업]2023학년도 1학기 교양교과목 1차 폐강 강좌 및 수강 정정 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1161167/artclView.do,2023.02.24
4124,2023학년도 1학기 추가 휴ㆍ복학 신청 기간 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1162440/artclView.do,2023.02.28
4125,2023학년도 1학기 등록금재원 근로봉사 장학생 추가 모집 홍보,https://cse.pusan.ac.kr/bbs/cse/2605/1162459/artclView.do,2023.02.28
4126,[수업]2023학년도 1학기 학부 전공과목 등 1차 폐강 강좌 및 수강 정정 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1162579/artclView.do,2023.02.28
4127,[소프트웨어교육센터] 카카오 테크 캠퍼스 1기 모집 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1163091/artclView.do,2023.03.02
4128,2023학년도 1학기 외국인 유학생 안내책자(국문_영문_중문) 배부,https://cse.pusan.ac.kr/bbs/cse/2605/1163094/artclView.do,2023.03.02
4129,2023 대만 화어문장학금 장학생 추천 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1163098/artclView.do,2023.03.02
4130,[삼성중공업 채용] 설명회  상담회  임원특강 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1163302/artclView.do,2023.03.03
4131,2023학년도 부산대학교 22기 홍보대사 모집 홍보 ,https://cse.pusan.ac.kr/bbs/cse/2605/1163310/artclView.do,2023.03.03
4132,[수업]2023학년도 1학기 강의실 변경 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1163565/artclView.do,2023.03.03
4133,[장학] 롯데장학재단 민화협 제4회 독립유공자 후손 장학사업 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1164119/artclView.do,2023.03.06
4134,삼성 2023년 상반기 「기회균등 특별채용」 추천채용 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1164223/artclView.do,2023.03.06
4135,[수업]인터넷과웹기초 추가 개설 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1164227/artclView.do,2023.03.06
4136,[장학] 2023학년도 1학기 등록금재원 학부 우선선발장학금 신청 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1164522/artclView.do,2023.03.07
4137,[장학] 2023년 1학기 고졸 후학습자 장학금(희망사다리 II유형) 신규 장학생 신청 안,https://cse.pusan.ac.kr/bbs/cse/2605/1164715/artclView.do,2023.03.08
4138,[장학] 2023년 대통령과학장학금 학생 신청 안내 협조,https://cse.pusan.ac.kr/bbs/cse/2605/1164717/artclView.do,2023.03.08
4139,PNU입학알림단(PIOOM) 10기 선발 ,https://cse.pusan.ac.kr/bbs/cse/2605/1164806/artclView.do,2023.03.08
4140,[바이낸스x블록체인플랫폼연구센터]바이낸스의 첫번째 캠퍼스 투어 개최 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1165036/artclView.do,2023.03.09
4141,이산수학(1) 조교 공개모집:~3.13(월)까지 ,https://cse.pusan.ac.kr/bbs/cse/2605/1165080/artclView.do,2023.03.09
4142,[장학] 2023년 1학기 중소기업 취업연계 장학사업(희망사다리Ⅰ유형) 학생 신청기간 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1165105/artclView.do,2023.03.09
4143,2023년도 동아리 현황 제출:  ~ 3.20(월),https://cse.pusan.ac.kr/bbs/cse/2605/1165478/artclView.do,2023.03.10
4144,2023학년도 제13기 선배와 손잡(Job)기(멘토링 프로그램) 멘토 모집 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1165479/artclView.do,2023.03.10
4145,[수업]2023학년도 1학기 공학연구실습(I) 지도교수 배정 및 수업 참여 안내,https://cse.pusan.ac.kr/bbs/cse/2605/1165484/artclView.do,2023.03.10
